index,row,col,OD_r,OD_g,OD_b,D_multichannel,D_r,D_g,D_b,D_r_err,D_g_err,D_b_err
0,11,64,1.1491879773016593,0.8164590721769667,0.5640298453395661,23.63199291696003,23.012071236205713,24.710686851825823,24.799751505062062,0.09897185767253214,0.120481600721798,0.33140607449256343
0,11,65,1.1468910439938627,0.8043764141377675,0.5638825579137575,23.62149457754362,22.903334705935148,23.987730202852777,24.77208494987388,0.09849393943237313,0.11858078579278375,0.3315568183253878
0,11,66,1.159662351877985,0.8001683323256358,0.57237262091939,24.691375961379062,23.514132840065315,23.738823791383407,26.369085002180647,0.10131767462937152,0.11802907151520597,0.3233835943711082
0,11,67,1.1597153464465362,0.8000684181783407,0.5783265430174908,22.618720736512905,23.516699202952704,23.732931788995906,27.491735127480396,0.10133027015747303,0.1180165896356459,0.31943317094370666
0,11,68,1.1577040988996996,0.8113735318805976,0.558062644787513,25.397047947287884,23.41948726846641,24.40489011642878,23.67995582200043,0.10085753321748545,0.11961999820783704,0.33738904122952407
0,11,69,1.135148039416402,0.7922816101972986,0.5574781840879416,23.378314805525285,22.354891765811157,23.276268268651847,23.570396519608604,0.09623764061910287,0.11712441408929569,0.33794584304015435
0,11,70,1.1832282660269524,0.7957511456937899,0.565824090579832,24.841490094955613,24.682275512846342,23.479126840472073,25.13689271649393,0.10773021973036008,0.11750293721569759,0.32957623075727727
0,11,71,1.160669869575871,0.8169694685558504,0.5732665218960966,23.550593338803633,23.562969488559332,24.741499372837858,26.537493316065785,0.101558441823857,0.12057341243128658,0.3226534750581103
0,11,72,1.1671171173144834,0.8204833088644811,0.5632446360319141,24.6437854119438,23.87778199218651,24.95423742610692,24.652273022538402,0.10316602685284441,0.12123338425542943,0.33220968213825053
0,11,73,1.1924610782167164,0.8078670673216883,0.592917736632457,22.773410240114206,25.15513731866906,24.195323511897517,30.25246939236027,0.11073450266988769,0.1190791940477689,0.32596207525811344
0,11,74,1.1526462068614884,0.801435028989992,0.5106965016872996,27.433300516427696,23.176700420464442,23.813593482623205,14.869652305601981,0.09971552989930144,0.11818974655140631,0.3308735240717476
0,11,75,1.1510723689112576,0.7904046398790545,0.5556545833392967,23.97362084743309,23.101640584908235,23.166933912521614,23.228692943535666,0.099373434139026,0.11693142174195872,0.33962880858475675
0,11,76,1.1054345294842347,0.781932808198265,0.563637141128324,20.320139985560036,21.020692707585,22.676987569945414,24.725988737640808,0.09170123435118373,0.1161519590029212,0.33180801638177987
0,11,77,1.1721091943074695,0.7971101494277034,0.5418622714337089,25.64948581996498,24.1243063905975,23.558854663311884,20.651015125697526,0.10449363382349808,0.11765933464540569,0.3482579664976037
0,11,78,1.1357643755634579,0.7912602373201345,0.5498236584097251,23.366325364784412,22.383370311939267,23.21673731317315,22.13749426353306,0.09634868367004729,0.11701840669814222,0.34428776255835963
0,11,79,1.1355075091975582,0.8029043245320969,0.5553146531463512,23.71363357661887,22.37149741096024,23.90048902382396,23.165020279646832,0.09630231011624109,0.11838188457238626,0.33993241165066396
0,11,80,1.137976951822734,0.7965795226158654,0.5495826577665128,23.233072858739114,22.485882564358878,23.527706645147408,22.0924389836336,0.09675381183773676,0.11759770559197878,0.34445196059440003
0,11,81,1.1504960957646295,0.7978403556952756,0.5566995889407775,23.269880324735468,23.07421423108381,23.601755976259096,23.424479135777364,0.09924970580504353,0.11774534247024643,0.3386750271393142
0,11,82,1.1335581052467258,0.7934694142728606,0.5567968705192669,23.502430948798082,22.281581841677287,23.34560662495322,23.44270871595286,0.09595476339131012,0.11725074023614213,0.3385847474967288
0,11,83,1.1444450065618368,0.7865661109105696,0.5384344363428076,24.412260028417986,22.788069923236442,22.94422699411288,20.012210680807982,0.09799863337177049,0.11656059555076986,0.3489499650019615
0,11,84,1.1235805120462379,0.7929742743972441,0.54902864085681,23.44855552197701,21.82656432366969,23.316688721271294,21.98887873705958,0.09429141606833205,0.11719767717795537,0.34481985941589294
0,11,85,1.1443410911096625,0.7985712513985062,0.5551690144603938,23.850524325010344,22.783185164403026,23.64474181380591,23.137742757521952,0.09797789693219845,0.11783284334475513,0.34006143578816594
0,11,86,1.1509151609581414,0.7967453044260739,0.57237262091939,22.863531652385866,23.094155598602587,23.537435619739288,26.369085002180647,0.09933959993616251,0.11761688203381786,0.3233835943711082
0,11,87,1.1583915693877225,0.7999352193721773,0.5913902230777077,21.800287396294006,23.45267251472126,23.72507825444252,29.96282293398675,0.10101790437729746,0.11799999277455092,0.32372529734414235
0,11,88,1.1209044331675455,0.7784273614845066,0.5511505047631875,21.832895255477286,21.705982576601723,22.475938965450414,22.38561405664068,0.09387616045367964,0.11586810608894327,0.34334002257601154
0,11,89,1.1451207972287705,0.7924464740377278,0.5578190658673415,23.501127947830163,22.819860781101323,23.285885358757586,23.634293467031693,0.09813409196138081,0.11714175019022727,0.337622027164482
0,11,90,1.1545916907798686,0.802971177000709,0.5598186791733657,23.688474314077258,23.269803303648008,23.904447016871046,24.00925929144297,0.10014700565919091,0.11839077702276163,0.3356743945046483
0,11,91,1.1461095537099635,0.7968447905563725,0.5694251055271605,22.706479011765804,22.86644920256299,23.543275089983293,25.81413780301407,0.09833418182107499,0.11762842387710863,0.3260262959143942
0,11,92,1.1682415499075487,0.8054152516761534,0.5869268267280755,21.641013582602213,23.933097744632228,24.049404326045973,29.11732439230855,0.10345859309438771,0.11872511116555964,0.3195552398204726
0,11,93,1.1569644282020553,0.7825837105823716,0.5521652665412073,24.46561859569439,23.38383204380402,22.714426558700858,22.575448094928063,0.10068638239441571,0.11620697291106935,0.3425673443718292
0,11,94,1.1681879684463878,0.8124218082427781,0.5441559565482336,25.846307796057598,23.930459048928647,24.46774334165305,21.078868134687863,0.10344456747215104,0.11978990317438835,0.34743895988528806
0,11,95,1.1647131046725778,0.802971177000709,0.5617989910510695,24.452611147001956,23.759929080539067,23.904447016871046,24.380852084903673,0.10255284078156213,0.11839077702276163,0.33368424057575596
0,11,96,1.1663684019374767,0.8000351163280932,0.5499682948177955,25.28766116148277,23.841017471327298,23.730968140912626,22.164535900600974,0.10297326565552865,0.11801243553518742,0.3441880248268427
0,11,97,1.1557507871317108,0.796712145223661,0.5580870068954223,23.9931225264091,23.325441022863945,23.53548947730626,23.684523051678426,0.10040866973549922,0.11761304075588873,0.33736566731207546
